position_index,direction,hal_ref_bits,hal_ref_state,threshold_pulse,hal_new_bits,hal_new_state,attempts
1,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
2,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
3,1,"(0, 1, 0)",2,900,"(0, 0, 1)",0,4
4,1,"(0, 0, 1)",0,800,"(1, 0, 1)",5,2
5,1,"(1, 0, 1)",5,750,"(0, 1, 1)",1,1
6,1,"(0, 1, 1)",1,850,"(1, 0, 0)",4,3
7,1,"(1, 0, 0)",4,900,"(0, 1, 0)",2,4
8,1,"(0, 1, 0)",2,900,"(0, 0, 1)",0,4
9,1,"(0, 0, 1)",0,850,"(1, 0, 1)",5,3
10,1,"(1, 0, 1)",5,750,"(0, 1, 1)",1,1
11,1,"(0, 1, 1)",1,850,"(0, 1, 0)",2,3
12,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
13,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
14,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
15,1,"(1, 0, 1)",5,750,"(0, 1, 1)",1,1
16,1,"(0, 1, 1)",1,850,"(1, 0, 0)",4,3
17,1,"(1, 0, 0)",4,900,"(0, 1, 0)",2,4
18,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
19,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
20,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
21,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
22,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
23,1,"(1, 0, 1)",5,850,"(0, 1, 0)",2,3
24,1,"(0, 1, 0)",2,900,"(1, 0, 1)",5,4
